TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	15/04/23
TIME	12:57:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1045
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	 2000,0000
LASTX	  200,0000
NPOINTS	    1801
FIRSTY	    70,89654
MAXY	    81,29649
MINY	    16,75885
XYDATA
2000,0000	70,8965
1999,0000	69,8409
1998,0000	69,7916
1997,0000	69,4115
1996,0000	69,3016
1995,0000	68,5756
1994,0000	68,7697
1993,0000	69,2937
1992,0000	69,4513
1991,0000	70,1499
1990,0000	69,849
1989,0000	69,6196
1988,0000	70,1153
1987,0000	69,5946
1986,0000	69,8238
1985,0000	69,9685
1984,0000	69,7596
1983,0000	69,6334
1982,0000	69,911
1981,0000	70,1397
1980,0000	70,1636
1979,0000	70,2066
1978,0000	70,0471
1977,0000	68,7825
1976,0000	68,6226
1975,0000	68,4602
1974,0000	68,6895
1973,0000	70,0258
1972,0000	69,5507
1971,0000	69,7206
1970,0000	69,5475
1969,0000	69,4939
1968,0000	69,6111
1967,0000	69,6975
1966,0000	69,1955
1965,0000	68,7586
1964,0000	68,7909
1963,0000	68,2641
1962,0000	68,1614
1961,0000	68,0092
1960,0000	68,2475
1959,0000	69,1576
1958,0000	69,4849
1957,0000	69,8812
1956,0000	69,5519
1955,0000	68,4113
1954,0000	67,5161
1953,0000	67,1468
1952,0000	67,6199
1951,0000	68,3088
1950,0000	69,132
1949,0000	69,3062
1948,0000	69,2647
1947,0000	69,4286
1946,0000	69,1424
1945,0000	69,2179
1944,0000	68,9331
1943,0000	68,7773
1942,0000	68,5885
1941,0000	68,7419
1940,0000	68,8886
1939,0000	69,3897
1938,0000	69,6902
1937,0000	69,1216
1936,0000	69,1227
1935,0000	68,7461
1934,0000	69,2334
1933,0000	70,1816
1932,0000	69,3995
1931,0000	69,6067
1930,0000	68,7832
1929,0000	67,9696
1928,0000	67,9094
1927,0000	68,0391
1926,0000	67,9546
1925,0000	68,1638
1924,0000	69,5568
1923,0000	68,8109
1922,0000	69,5735
1921,0000	69,3907
1920,0000	68,2094
1919,0000	68,2718
1918,0000	68,5089
1917,0000	68,8488
1916,0000	69,0476
1915,0000	68,8699
1914,0000	68,5228
1913,0000	68,5429
1912,0000	68,6214
1911,0000	68,9622
1910,0000	68,6325
1909,0000	68,8124
1908,0000	69,7939
1907,0000	69,8444
1906,0000	70,6832
1905,0000	70,4038
1904,0000	69,9827
1903,0000	69,8817
1902,0000	68,8795
1901,0000	68,8249
1900,0000	70,44
1899,0000	70,11
1898,0000	70,4044
1897,0000	70,7433
1896,0000	70,8686
1895,0000	71,6004
1894,0000	72,4193
1893,0000	71,6262
1892,0000	71,1783
1891,0000	71,4038
1890,0000	70,7822
